limit_bal,sex,education,marriage,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_payment_next_month
310000,female,university,single,34,0,0,0,0,0,0,87559,74929,76404,76133,53065,17529,3000,3022,5208,15734,1607,140994,False
210000,male,high school,single,34,-1,-1,-1,-1,0,0,862,1136,1511,54400,81139,82585,1144,1515,54409,30000,3759,435,False
250000,male,high school,married,39,-1,-1,-1,-1,-1,-2,1976,3314,0,800,3576,0,3318,0,800,3576,0,0,False
230000,female,university,married,42,-2,-2,-2,-2,-2,-2,430,430,430,430,430,430,430,430,430,430,430,430,True
20000,female,university,single,24,0,0,0,0,0,0,19043,20210,18091,19431,19478,17492,1500,1408,5000,1000,2000,5000,False
20000,female,university,single,48,0,0,0,0,2,-1,7684,8565,4519,3520,1680,5285,1200,2008,1680,0,5285,0,False
250000,male,university,single,27,0,0,0,0,0,0,34799,25831,24448,20492,18812,17663,2027,2000,1007,1031,2000,10000,False
50000,female,university,single,23,0,0,0,0,0,0,25421,26704,26952,15673,13903,27775,2000,1000,3400,1500,25298,3961,False
190000,female,university,single,25,1,-2,-1,0,0,-1,0,0,2251,2251,497,7681,0,2251,0,600,9289,6374,False
100000,female,university,single,29,-2,-1,0,0,0,0,75912,85276,88498,90289,92485,95630,10000,4000,2600,3000,4000,5000,False
50000,female,university,married,38,2,0,0,2,2,2,29989,31184,33850,34495,35129,35918,2000,3500,1500,1500,1500,1500,True
90000,female,graduate school,single,31,0,0,2,2,2,2,77278,83357,85229,85939,83680,89319,8000,4100,3000,0,7000,3100,True
230000,female,graduate school,married,61,-2,-2,-2,-2,-2,-2,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,False
70000,female,graduate school,married,23,-1,-1,-2,-2,-2,-2,3000,0,0,0,0,0,0,0,0,0,0,0,False
100000,female,graduate school,single,24,-1,-1,2,-1,-1,2,7576,15532,7626,11896,15520,7156,15532,0,11896,11008,0,23164,False
90000,female,university,single,24,0,0,0,-1,0,0,36179,36137,28400,28982,29782,24389,1953,2000,29982,800,1516,60615,False
140000,male,graduate school,single,30,0,0,2,0,0,-2,90313,103560,78842,67003,0,0,15037,5,2007,0,0,0,False
420000,male,university,married,32,0,0,2,2,-2,-2,203843,21400,800,0,0,0,3200,0,0,0,0,0,False
130000,male,graduate school,single,29,0,0,0,0,0,0,110524,108204,99784,71451,67024,62655,10000,5000,4000,4000,7500,8200,False
300000,female,high school,married,37,0,0,0,0,0,0,85405,84922,84870,69725,54744,9234,3479,3319,2210,1095,1594,126463,False
100000,male,university,single,32,-1,2,-1,-1,-1,-1,4080,2271,4100,7980,0,9487,0,4107,7980,0,9487,8333,False
50000,female,university,married,28,0,0,0,2,2,2,43648,45919,50784,43238,30248,27447,3000,6000,0,3500,0,1100,False
250000,female,university,married,29,0,0,0,0,0,0,180056,179349,30349,29568,30188,30786,4077,1500,1917,1097,1101,1139,False
120000,male,high school,married,46,0,0,0,0,0,0,104153,98955,96298,90570,89442,92756,4500,4400,4040,3100,6600,3500,False
180000,female,graduate school,married,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False
20000,female,university,married,23,2,0,0,0,2,0,16219,17626,18398,19052,15429,9199,1674,1446,1100,0,379,1085,True
130000,female,high school,married,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,True
300000,male,high school,married,61,0,0,0,0,0,0,269781,275773,282818,289012,123239,123812,10001,11001,12001,10001,5001,5001,False
70000,female,graduate school,single,26,0,0,0,0,0,0,41614,43610,46581,47634,51305,52580,3000,4000,1829,4500,2100,2500,False
230000,female,high school,single,42,1,-2,-1,-1,-1,-1,0,0,324,0,2600,3007,0,324,0,2600,3407,200,True
80000,female,graduate school,single,29,0,0,0,0,0,0,33947,37339,36601,40589,42675,44567,4000,2500,5000,3000,2500,10000,False
50000,male,university,single,40,1,1,-1,-1,0,0,50209,-2522,409,29148,30270,22814,0,2931,30000,5270,2814,3089,False
560000,male,university,married,43,-1,0,0,0,0,0,168211,139873,142391,145345,148177,139831,5060,4827,4974,4942,4573,4074,False
130000,male,university,single,31,3,2,2,3,3,2,300,300,300,300,300,150,0,0,0,0,0,1000,True
140000,male,high school,married,39,0,0,0,0,0,0,136918,128636,127237,94159,95794,89345,5000,5900,4000,3000,5000,3000,False
520000,female,graduate school,single,35,0,0,0,0,0,0,57536,60912,56728,55758,57911,54152,5000,7000,5000,5004,5000,5000,False
360000,male,university,married,65,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,True
180000,female,university,married,33,1,-1,0,0,0,0,-84,482,6566,6905,7385,7847,982,6500,1000,1000,1000,1000,False
50000,female,university,single,25,2,2,2,2,2,2,33586,34636,35683,36200,36808,37671,1900,1900,1400,1500,1600,1500,True
30000,female,high school,married,45,1,2,2,2,0,0,29334,28198,29497,28268,30817,17219,0,2457,0,3000,344,0,False
160000,female,others,married,42,-2,-2,-2,-1,0,0,-1582,3097,0,2039,1033,0,5624,0,2039,0,0,0,False
160000,male,graduate school,single,29,-1,-1,-1,0,-1,-1,390,4238,780,390,390,540,4238,780,0,390,540,780,False
110000,female,graduate school,single,28,0,0,0,0,0,0,52693,54148,73596,76938,47942,40963,5064,42000,5091,2026,3033,2510,False
50000,male,high school,married,36,0,0,0,0,0,0,44917,46230,49319,50401,18919,19469,2061,4150,2232,750,929,611,False
200000,male,graduate school,married,52,-1,-1,-1,-1,-1,-1,2343,3943,1443,1443,1443,1443,3943,1443,1443,1443,1443,1443,False
70000,male,university,married,42,4,4,4,4,4,4,59130,59831,61873,63359,64221,65706,2272,3614,3100,2500,3100,1000,True
30000,male,university,single,31,0,0,0,0,0,0,26788,28352,86253,28351,28571,23400,2001,1600,600,1000,468,0,False
50000,female,university,single,23,1,3,2,0,0,0,7181,6908,5187,4643,3385,1839,0,0,1022,237,100,50,False
50000,female,high school,single,24,0,0,0,0,0,0,48658,46749,42190,30683,29140,28986,1900,1613,1504,1200,1100,1100,False
30000,male,high school,married,53,0,0,-2,-2,-2,-2,1596,0,0,0,0,0,0,0,0,0,0,0,False
50000,female,high school,married,59,0,0,0,0,0,0,47822,36488,36811,13234,11543,10751,2009,2000,556,378,619,5000,False
220000,female,graduate school,single,36,0,0,0,0,0,0,222598,222168,217900,221193,181859,184605,10000,8018,10121,6006,10987,143779,True
50000,male,university,single,56,0,0,0,-1,-1,0,37624,44915,46665,390,430,390,8000,26390,390,430,350,3581,False
200000,female,graduate school,single,39,-2,-2,-2,-2,-1,-1,0,0,0,0,2330,0,0,0,0,2330,0,0,True
500000,male,graduate school,single,40,0,0,0,0,0,0,353356,320704,321094,317546,279250,239172,17000,11684,15000,8995,9457,10000,False
30000,female,university,single,25,2,2,0,0,0,0,28518,27774,28987,24960,14358,16123,0,2027,2000,1000,2000,2000,False
50000,female,university,married,32,-1,-1,-1,-1,-1,2,390,390,390,390,930,390,390,390,390,930,0,780,True
380000,female,graduate school,single,27,0,0,0,0,0,0,44986,109142,43758,39106,37978,33428,70000,2014,1004,3000,2000,3302,False
150000,male,graduate school,single,27,0,0,0,0,0,0,149340,152460,141196,105802,106478,107096,10000,6040,5750,3000,5000,35000,False
230000,female,university,married,39,0,0,-2,-2,-2,-2,24510,0,0,0,0,0,0,0,0,0,0,0,False
130000,male,6,married,37,-1,-1,-1,-1,-1,-1,1390,2196,7533,4656,840,390,2196,7533,4689,840,390,390,False
460000,male,university,married,52,0,0,0,0,0,0,177520,174746,168279,171579,163450,160547,8000,9000,8154,6000,6000,6000,False
110000,female,graduate school,single,28,0,0,0,0,0,0,65024,61848,57944,53857,35036,31973,2500,2900,2000,2000,2000,2000,False
60000,female,high school,single,23,0,0,0,0,-1,0,23268,16603,8651,500,29468,30201,1215,1001,502,29468,1201,1000,False
200000,female,graduate school,single,28,-1,-1,-1,-1,-1,-1,1860,4464,29705,25854,510,1470,4464,29705,25854,510,1470,5822,False
290000,male,graduate school,single,34,-1,-1,-2,-1,-1,-1,1597,-2002,-1001,3999,0,4483,0,0,5000,0,4483,1209,False
180000,male,university,married,28,0,0,0,0,2,0,148735,150771,156334,165696,165582,168952,6000,8000,13500,4110,6200,13600,False
330000,male,graduate school,married,37,-1,-1,-1,-1,-2,-2,8447,-1,176,0,0,0,0,177,0,0,0,0,False
120000,female,graduate school,married,36,-1,2,2,-2,-1,0,536,210,-116,-442,732,406,0,0,0,1500,0,0,True
20000,male,high school,single,28,-1,0,0,0,0,0,16122,16787,14459,14743,16351,17126,2000,2000,2000,2000,2000,2000,True
160000,female,graduate school,married,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,2000,False
50000,female,graduate school,single,24,0,0,0,0,0,0,35084,35796,30937,19420,10385,1308,2090,2002,1002,238,1011,389,False
280000,female,graduate school,single,36,-1,-1,-1,-1,-2,-2,27290,0,720,0,0,0,0,720,0,0,0,0,False
500000,female,university,married,45,1,-1,-1,-1,-2,-2,0,1376,3719,-200,-200,-200,1376,3723,1319,0,0,0,True
500000,female,university,married,43,-2,-2,-2,-2,-2,-2,10330,12320,12209,16727,17738,14117,12320,12209,16727,17744,14117,11691,False
30000,male,high school,single,38,1,2,0,0,0,0,30771,29975,27541,27785,28839,29412,0,2000,1000,1500,1052,591,False
30000,male,university,single,38,0,0,2,2,2,2,29770,27400,28935,28934,30313,30330,6000,2273,780,2635,1033,611,False
80000,female,university,single,23,0,0,2,0,0,0,54658,45978,32431,27674,23304,6586,5573,5,2000,1000,132,1998,False
50000,female,university,married,28,1,2,0,0,0,0,41468,40507,41464,35334,26875,23338,0,1970,1827,1044,993,1999,False
80000,female,university,single,26,0,0,0,0,0,0,56373,57301,58017,56556,57890,58657,2129,2014,1985,3000,3001,2266,False
210000,male,university,married,41,2,2,2,2,2,2,87705,90376,90687,91888,93852,95734,4800,2500,3900,3400,3400,3400,True
210000,male,graduate school,single,35,-1,-1,-1,0,-1,-1,6808,4954,8739,5420,4450,4064,4960,8747,8,4450,4064,3870,False
50000,female,high school,married,40,0,0,0,0,0,0,48489,49495,50866,48390,17953,23,1813,2184,1248,359,0,20706,True
20000,male,graduate school,married,44,0,0,0,0,0,0,17974,32768,16057,14189,13265,12214,2000,1506,1000,800,1000,1000,False
500000,female,graduate school,single,51,-1,-1,-1,-1,-1,-1,187,369,535,-13,20807,20897,370,537,0,20911,21001,88,False
80000,male,university,married,42,0,0,0,0,0,0,48237,48594,49432,49043,47805,45626,2200,2005,2000,2000,2000,2000,False
60000,male,university,married,40,0,0,0,0,0,0,58078,58139,59461,37170,18464,15822,2354,2538,1000,2000,1000,1000,True
50000,male,university,married,36,-1,0,0,0,0,0,3580,4597,5757,5869,5838,5971,1084,1244,356,212,230,205,True
430000,male,graduate school,married,39,0,0,0,-1,-1,0,41428,32303,20739,12925,17566,14067,17800,15023,12925,17566,11000,10349,False
360000,male,university,single,34,-1,-1,-1,-1,-1,0,1978,8583,993,26454,10456,31581,8625,998,26561,10456,21738,0,False
230000,female,high school,0,30,-1,-1,-1,2,0,-1,291,763,2403,2205,1210,291,763,2403,0,0,291,291,False
110000,male,high school,married,43,-1,-1,-1,0,0,0,390,5050,63032,33228,31073,25035,5050,63032,1100,1100,1000,1000,False
100000,male,university,single,40,0,0,0,0,0,0,86208,173340,36562,37298,39687,40044,3595,3218,1345,3000,1275,440,False
50000,male,university,single,35,0,0,0,0,0,0,18510,19418,21097,21759,22421,23061,1500,2000,1000,1000,1000,1203,False
240000,male,graduate school,single,29,0,0,0,0,0,-1,61888,12310,12073,9643,-8074,108493,5022,4014,113,6423,120000,15000,False
110000,female,high school,married,52,1,-2,-1,-1,-2,-2,0,0,1000,0,0,0,0,1000,0,0,0,0,False
140000,female,university,single,24,-1,-1,-2,-1,-1,-2,197,0,0,233,0,0,0,0,233,0,0,0,False
150000,female,graduate school,single,37,-1,-1,-1,-1,-1,-1,7591,5538,18987,0,1399,150,5538,18987,0,1399,150,203,True
280000,female,graduate school,married,51,-1,-1,-1,-1,-1,-1,11223,15225,4951,2408,8360,6202,15262,4951,2408,8360,6202,200,False
370000,female,high school,single,27,0,0,0,0,0,0,63412,159542,160885,162368,165591,121614,100000,6000,6000,8000,4500,3000,False
260000,female,high school,single,33,1,-1,-1,-1,0,0,0,926,650,3562,3044,3044,926,650,3562,0,0,0,False
210000,female,university,single,24,0,0,0,0,0,0,108491,111046,110716,97168,94524,96777,5800,3700,3505,3400,3769,3229,False
80000,female,high school,married,28,0,0,0,0,0,0,75903,34137,32390,32651,32170,31493,2014,1705,2000,2000,3000,3000,False
90000,female,university,single,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,False
50000,male,high school,married,53,1,-1,-1,0,0,-1,0,484,929,474,0,1288,484,1000,0,0,1288,334,True
50000,male,graduate school,single,32,1,2,2,2,2,2,45997,47003,46468,47198,49634,48708,2064,500,1800,3528,0,3000,True
80000,male,university,single,48,0,0,0,0,0,0,74349,75524,77448,48108,39104,39526,3400,4000,2000,2000,1423,2200,False
620000,female,graduate school,single,31,0,0,0,0,0,0,569023,562316,475333,473182,481896,513798,23009,20004,20008,14000,35804,250005,False
160000,female,university,married,25,-1,-1,-1,-1,0,0,8030,8030,8030,19069,15359,10846,8030,8030,19069,5359,377,5877,True
500000,male,graduate school,single,36,0,0,0,0,0,0,34639,41481,25747,5749,10370,14161,10010,8078,2000,5000,6000,15000,False
280000,female,university,single,34,-1,-1,2,-1,-1,-1,38,34163,32800,131200,3950,0,34163,0,131200,3950,0,716,False
380000,female,graduate school,married,36,-2,-1,-1,-1,-1,2,3744,20334,8499,53235,101439,34579,20498,8549,53471,101785,117,32347,True
50000,male,university,single,32,0,0,0,0,0,0,46281,27311,41032,29626,26328,28475,1658,29000,1027,1300,2600,1280,False
210000,male,university,single,37,0,0,0,0,0,0,15637,17560,16765,18641,18654,16229,3017,3023,5014,5012,2012,2010,False
440000,female,graduate school,married,31,0,-1,-1,-1,-1,-2,232526,1025,0,26549,0,1000,1025,0,26549,0,1000,150,False
380000,female,university,single,31,0,0,0,0,0,0,200932,190991,175028,162699,138158,135920,10000,10000,5849,4570,5447,120000,False
440000,female,university,single,28,0,0,0,0,0,0,412962,409812,393255,370202,258387,255740,15000,20000,15305,10070,15037,10052,False
220000,female,graduate school,married,43,-1,-1,-1,-1,-1,-1,4009,1689,12370,12095,1832,4691,1689,12373,12099,1832,5001,10311,True
110000,male,university,single,38,0,0,0,0,0,0,95925,98331,100751,102496,80116,69391,4000,4000,3500,2500,2290,2060,False
130000,female,university,single,26,0,0,0,0,0,0,187600,185945,183828,164667,132746,57989,6074,6037,4646,4230,1941,2151,False
160000,female,university,married,37,0,-1,-1,-1,0,-1,13307,22887,16846,2150,1033,8264,22887,16890,2150,0,8264,8799,False
130000,male,university,married,33,-1,-1,-1,-1,-1,-1,99,99,99,99,99,98,99,99,99,99,98,894,False
160000,female,graduate school,single,27,1,-2,-2,-2,-2,-2,0,0,0,1900,0,2018,0,0,1900,0,2018,0,False
50000,female,university,single,31,0,0,0,0,0,0,45861,47667,48119,8257,8037,9470,3687,5000,1000,309,2000,1000,False
130000,male,university,married,24,0,0,2,0,0,0,46113,49520,47627,47262,46226,390,5000,0,1925,0,0,780,False
60000,female,university,single,53,1,2,0,0,0,2,8735,8448,9156,10226,12041,11704,0,1000,1226,2000,0,1100,True
340000,female,5,married,27,0,0,0,0,0,0,281544,283173,282231,216946,216403,218209,11000,11031,8000,8000,8300,7500,False
10000,male,university,single,34,0,0,0,0,0,0,9178,7692,9484,10004,10084,9936,1500,2257,1200,500,500,600,False
180000,female,university,married,33,0,0,0,0,0,0,47050,49282,50159,51336,54332,56249,3000,2000,2011,4000,3000,3000,False
270000,female,university,married,44,0,0,-1,0,0,0,24775,18018,15896,32396,50411,60957,10203,15908,20000,29000,22000,1821,False
80000,female,graduate school,single,32,0,0,0,0,0,0,70163,72984,74807,76363,78091,79829,4000,3000,2800,3000,3000,3000,False
340000,female,university,single,30,0,0,0,0,-1,0,257884,254863,24810,27502,3490,99514,13000,2000,5000,3490,99000,5000,False
300000,male,graduate school,single,31,-1,-1,-1,-1,-1,-1,360,360,360,360,980,360,360,360,360,980,360,3420,True
60000,female,graduate school,single,25,0,0,0,0,0,0,16006,16840,18001,18048,12583,12754,1400,1500,500,700,500,1000,False
80000,female,graduate school,married,28,-1,2,-1,-1,-1,-1,9598,6278,8721,3589,8209,10253,60,8721,3589,8209,10253,4829,False
160000,female,university,married,28,0,0,0,0,0,0,6031,7057,7912,8080,8250,8565,1280,1132,300,300,452,312,False
40000,male,university,married,44,0,0,0,0,0,0,36917,38260,32680,23472,25436,34309,2000,2000,1000,3000,10000,1142,False
70000,female,high school,single,25,0,0,0,0,2,0,68658,68618,61208,50111,49207,50524,4500,2783,25000,0,3000,6000,False
30000,female,university,single,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,False
20000,female,high school,single,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,True
660000,male,graduate school,single,55,-1,0,0,0,0,-2,284334,288120,325889,342408,19903,20843,6486,38507,20000,2000,1000,345,False
30000,female,graduate school,single,23,0,0,0,2,2,0,29047,30062,29659,29274,18770,13960,1508,3016,1730,16,1001,1000,True
150000,female,university,married,43,0,0,0,0,0,0,158844,149298,157537,162697,113925,116382,10004,10009,8014,5008,5012,5000,False
20000,female,university,single,46,-1,-1,-1,0,0,-2,189,2249,3551,6180,0,0,2249,3551,5000,0,0,0,True
20000,male,university,single,40,1,4,3,2,2,2,17361,16803,16253,15695,16832,16420,0,0,0,1400,0,603,False
180000,female,graduate school,single,30,0,0,0,0,0,0,44478,40311,43847,50763,69026,32030,8000,10000,10000,23000,5000,4000,False
360000,male,university,married,37,-2,-1,-1,0,0,-2,-5,3584,2280,2280,0,0,3589,2280,0,0,0,0,False
140000,female,university,single,42,0,0,0,0,0,0,24984,26010,27026,27714,28139,28697,1434,1450,1138,1021,1026,1061,False
210000,male,graduate school,single,35,-1,2,2,-2,-2,-2,1527,1350,0,0,0,0,0,0,0,0,0,0,False
60000,female,university,single,24,1,2,0,0,0,0,60425,57786,55272,55925,57063,48228,28,2500,2000,2030,2100,3500,True
210000,male,graduate school,single,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False
30000,female,university,married,53,0,0,0,0,0,0,25627,26891,28151,28827,29412,26199,2000,2000,1500,1000,1000,1351,False
310000,male,graduate school,married,39,-1,-1,-1,-1,-1,-1,16577,1361,2716,824,757,842,1361,3146,824,757,842,13436,False
500000,female,university,married,39,0,-1,-1,-1,-2,-2,11712,523,1543,0,0,0,523,1543,0,0,0,0,False
50000,male,high school,single,22,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False
440000,male,graduate school,married,37,-1,-1,-1,-1,-1,-1,4330,8369,16786,396,600,3596,8369,16786,396,600,3596,4095,False
20000,male,university,single,23,1,2,0,0,0,-2,9352,9059,9823,10023,0,0,0,1000,200,0,0,0,True
190000,male,graduate school,single,34,2,2,2,2,0,0,154258,166118,170001,165797,167654,178044,14500,8000,0,6100,13100,0,True
160000,male,high school,single,25,0,0,-2,-2,-2,-2,31400,0,0,0,0,0,0,0,0,0,0,0,False
290000,male,high school,married,40,0,0,0,0,0,2,151996,155371,157605,133904,128276,130419,7800,7549,10000,15000,5000,0,False
110000,male,university,single,47,0,0,0,0,0,0,72897,72755,71698,72418,72293,73954,3290,3200,2700,2800,3000,2650,False
20000,female,graduate school,single,23,-1,-1,-1,-1,-1,-2,292,780,0,593,0,0,780,0,593,0,0,0,False
420000,male,university,married,36,0,0,0,0,0,0,56068,55115,19304,22304,28465,38182,15005,10013,10000,10000,20000,20000,False
440000,male,university,married,48,0,0,0,0,0,0,23424,24222,24077,23241,24600,16344,3000,3000,2000,5000,0,5000,False
50000,female,high school,single,25,0,0,0,0,0,0,6954,6032,6529,7533,7857,4424,2161,1000,1004,3004,1005,2006,False
400000,male,graduate school,single,32,0,0,0,0,0,2,21930,20489,20734,16476,17857,14656,5028,5030,2012,4014,37,2013,False
630000,male,graduate school,single,32,-2,-2,-2,-2,-2,-2,2731,3817,4679,5679,6679,6850,1138,1000,1000,1000,171,73415,False
40000,male,graduate school,single,25,-1,-1,-1,0,0,-1,511,513,1531,1017,506,499,513,1531,0,0,499,0,True
90000,male,graduate school,single,36,-1,0,0,0,0,0,91111,81784,97541,90102,78285,70224,9400,27000,3000,2680,52930,3400,False
40000,male,university,married,46,2,2,2,3,2,3,27324,30108,32515,31698,33581,32772,3573,3206,0,2700,0,0,True
360000,male,university,married,38,-2,-2,-2,-2,-2,-2,1288,2508,2500,0,0,0,2520,2500,0,0,0,0,False
200000,female,graduate school,single,26,0,0,0,0,0,0,199649,202127,198168,189696,192462,194025,7263,7266,7000,7940,7009,7000,False
50000,female,university,married,30,-1,2,-1,-1,-1,-1,4959,423,3139,2464,6170,0,0,6024,5428,6170,0,0,False
90000,female,graduate school,single,27,-2,-2,2,2,-2,-2,1179,6346,4607,-6,-2153,-4306,7020,2980,3000,0,0,0,False
120000,male,university,married,60,2,2,2,2,2,2,27497,27960,28996,29321,29803,30511,1200,1800,1100,1100,1350,1500,True
200000,female,university,married,25,0,0,0,0,0,0,108174,111378,113751,110828,110592,103734,5000,4200,3820,4000,3760,4006,True
20000,male,university,single,40,1,2,2,2,3,2,8545,10177,10467,11987,11503,11175,1923,600,2000,0,0,1000,True
200000,female,graduate school,married,44,0,-1,-1,-2,-2,-1,26814,367,0,0,561,3854,368,0,0,561,3878,3,False
180000,female,university,single,37,1,2,0,0,0,0,37095,32881,33627,128051,106834,105551,0,3042,109470,4000,4000,7028,False
280000,female,graduate school,single,27,-1,-1,-1,-1,-1,-1,6585,4308,0,1265,1627,204,4308,0,1265,1638,204,3908,False
280000,male,others,married,42,-1,-1,-1,0,-1,-1,11847,10232,13454,5549,1260,26271,10252,13488,5572,1263,26398,5823,False
20000,female,university,single,26,0,0,0,0,0,0,15700,16734,17549,17702,10400,0,1600,1400,1171,600,0,0,False
30000,male,university,single,29,2,2,2,2,2,2,21959,24685,24983,25375,25923,25358,3400,1000,1100,1100,0,2100,False
310000,male,university,single,30,0,0,0,0,0,0,253549,259711,265931,245884,200380,221201,10400,11200,10840,9361,5300,8205,False
80000,female,university,single,23,-1,0,0,0,0,0,57314,58489,50452,51573,49061,33931,2145,2000,2012,2049,2008,1217,False
100000,male,graduate school,married,60,1,3,2,0,0,-1,8311,8031,5790,3860,2599,2712,0,0,0,0,2712,0,False
340000,female,university,single,34,-2,-2,-2,-2,-2,-2,0,2630,0,0,0,0,2630,0,0,0,0,1980,False
250000,female,graduate school,single,36,0,0,0,0,0,0,111204,114954,116608,120564,121477,124115,5600,5000,5900,4400,4600,5100,False
70000,male,university,single,25,1,3,2,0,0,0,12088,11601,12114,13597,15060,16653,0,1000,2000,2000,2000,2000,False
50000,female,high school,single,48,1,2,2,0,0,0,49295,50414,49158,29375,28050,27721,2200,0,1008,1004,1032,932,False
70000,female,university,married,32,1,2,2,2,2,2,22914,23953,23275,24584,24051,26654,1700,0,2000,0,3000,600,False
280000,female,university,single,34,0,0,0,-1,-1,-2,7215,28794,-5,1175,-23,-23,24143,0,1180,0,0,0,False
130000,female,university,single,25,0,0,0,0,0,0,128976,131763,128300,89007,90126,98665,7100,6000,4200,3500,10000,0,False
420000,female,graduate school,single,33,-1,-1,-2,-2,-1,-1,25718,0,0,0,1643,6800,0,0,0,1643,3400,403500,False
30000,female,university,married,30,0,0,0,2,0,0,25156,25949,28478,27754,28186,30240,1500,3000,0,1001,2500,1200,False
260000,female,university,single,26,0,0,0,0,0,0,16150,17880,22248,26842,35997,55272,2000,5000,5000,10000,20000,15000,False
280000,female,graduate school,married,37,-1,-1,-1,-1,-1,-1,3915,6686,3719,11013,21011,29459,6691,85,11045,21012,29460,10284,False
80000,female,university,single,32,1,2,0,0,0,0,113740,97093,85266,85871,47367,47812,0,3448,2383,1609,2000,2000,True
50000,female,graduate school,single,27,3,2,2,7,7,7,300,300,300,300,300,300,0,0,0,0,0,0,True
160000,female,university,married,60,-2,-2,-2,-2,-2,-2,16060,1605,4200,2461,0,0,1605,4200,2461,0,0,230,False
80000,female,university,single,40,0,0,0,0,0,0,46982,38738,31923,25885,20195,19494,1728,1411,1009,605,2012,209,True
150000,male,others,single,30,0,0,0,0,0,0,175348,153679,110237,46972,29045,20105,9304,2921,15000,1137,600,0,False
160000,female,university,single,38,0,0,0,0,0,0,133017,125321,122044,111799,92039,89536,7008,6300,5000,3000,2606,4006,False
50000,female,university,single,28,-1,3,2,-1,0,0,1876,1690,429,4836,1170,780,0,0,4836,0,0,0,True
150000,female,graduate school,married,33,0,0,0,0,0,0,50286,110884,113152,116097,118500,120896,61101,3210,3911,3354,3400,3500,False
200000,female,high school,single,50,-1,-1,-1,-1,-1,-1,3943,1443,2203,2189,5475,5506,1443,2583,2189,5475,5506,15837,False
60000,female,high school,married,44,1,2,0,0,0,0,39466,32202,29503,29538,29971,29798,0,1802,1737,1170,1189,1230,False
50000,male,university,married,46,0,0,0,-1,-1,-1,49046,49221,46505,6991,4809,1890,2185,2938,6996,4809,1890,6890,False
140000,female,university,single,26,-1,0,0,0,0,0,9589,78122,79327,117859,120556,122894,70000,3100,40000,4600,4500,4800,False
380000,female,graduate school,single,33,-2,-2,-2,-2,-2,-2,11924,16615,3273,9833,6580,6080,16615,3273,9833,6580,6080,4697,False
30000,female,university,married,31,1,2,2,0,0,0,28933,30109,29349,29400,30000,0,1949,0,1000,600,0,0,False
140000,male,graduate school,married,47,0,0,0,0,0,0,109259,108015,107209,106353,100653,99546,5400,5211,4000,4000,4000,3600,False
120000,female,university,married,37,-1,2,0,0,0,0,200,200,42200,42000,42000,0,0,42000,200,0,0,0,False
160000,male,university,married,43,0,0,0,0,0,0,69554,72390,75521,78987,80891,62113,4000,5000,10000,4000,3000,6000,False
230000,female,university,married,34,-1,-1,-1,-1,-1,-1,2007,3220,6163,2765,2050,1197,3229,6191,2782,2055,1200,1710,False
90000,female,graduate school,single,29,0,0,0,0,0,0,88254,89080,89613,89532,90362,94337,4200,4000,3307,3453,6730,0,False
250000,female,5,married,33,0,0,0,0,0,0,211084,211577,202346,203132,201230,199820,6934,7000,8975,7043,8000,10000,False
440000,male,high school,married,35,0,0,0,0,0,-1,13754,12364,11613,12651,13211,23600,2017,3000,3019,5011,23748,13633,False
70000,male,graduate school,married,42,0,0,0,0,0,0,71255,71338,71267,69813,71324,71268,2800,2800,2900,2800,2800,2990,True
70000,female,university,single,25,0,0,0,0,0,0,69455,70300,70737,70324,55291,56648,2600,2620,2641,2000,2250,2100,False
400000,female,university,married,30,0,0,-1,-1,-1,-1,161226,139481,17939,10315,22728,11493,5000,17939,12845,22728,11493,10703,False
100000,male,high school,married,56,0,0,0,0,0,0,10882,11952,13047,13330,14112,14477,1250,1300,500,1000,600,600,False
30000,male,high school,single,23,2,2,2,2,2,2,10732,20501,20831,21231,20589,31018,10000,1000,1000,0,13000,0,False
80000,male,university,married,46,1,2,0,0,2,2,1548,1378,3182,5124,4893,5810,0,2000,2000,0,1000,0,False
300000,female,university,single,26,0,0,0,0,0,0,212323,216844,220004,18715,18675,18693,8420,7117,1285,702,810,542,False
210000,female,high school,married,33,0,0,0,0,0,0,127491,118800,105606,94344,82676,73154,6018,4900,4340,2880,2650,2000,False
60000,female,university,married,36,0,0,0,0,0,0,60333,51838,45728,36441,37336,38138,2100,2000,1700,1500,1400,1500,False
